subject,topic,prerequisiteTopic,examType,weight,difficultyDist
Matematik,Mantık,Yok,TYT & AYT,0.9,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Matematik,Fonksiyonlar,Kümeler,TYT & AYT,2.0,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Matematik,Polinomlar,"Çarpanlara Ayırma; Fonksiyonlar",AYT,1.6,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Matematik,İkinci Dereceden Denklemler,Çarpanlara Ayırma,AYT,1.4,"[0.1, 0.5, 0.3, 0.1, 0.0]"
Matematik,Parabol,"İkinci Dereceden Denklemler; Fonksiyonlar",AYT,1.0,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Matematik,İkinci Dereceden Eşitsizlikler,İkinci Dereceden Denklemler,AYT,1.0,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Matematik,Permütasyon-Kombinasyon-Olasılık-Binom,"Çarpanlara Ayırma (Faktöriyel)",TYT & AYT,2.7,"[0.0, 0.2, 0.4, 0.3, 0.1]"
Matematik,Trigonometri,"Özel Üçgenler; İkinci Dereceden Denklemler",AYT,4.3,"[0.0, 0.2, 0.4, 0.3, 0.1]"
Matematik,Karmaşık Sayılar,İkinci Dereceden Denklemler,AYT,0.7,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Matematik,Logaritma,"Üslü Sayılar; Fonksiyonlar",AYT,2.2,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Matematik,Diziler,Fonksiyonlar,AYT,1.3,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Matematik,Limit ve Süreklilik,"Fonksiyonlar; Eşitsizlikler",AYT,2.0,"[0.0, 0.2, 0.4, 0.3, 0.1]"
Matematik,Türev,"Limit ve Süreklilik; Polinomlar; Fonksiyonlar",AYT,3.5,"[0.0, 0.1, 0.3, 0.4, 0.2]"
Matematik,İntegral,"Türev; Fonksiyonlar",AYT,4.3,"[0.0, 0.1, 0.2, 0.5, 0.2]"
Geometri,Doğruda ve Üçgende Açılar,Temel Geometrik Kavramlar,TYT & AYT,1.5,"[0.6, 0.3, 0.1, 0.0, 0.0]"
Geometri,Özel Üçgenler (Dik, İkizkenar, Eşkenar),Doğruda ve Üçgende Açılar,TYT & AYT,1.5,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Geometri,Üçgende Alan ve Benzerlik,Özel Üçgenler,TYT & AYT,1.5,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Geometri,Açıortay ve Kenarortay Bağıntıları,Özel Üçgenler,TYT & AYT,0.5,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Geometri,Çokgenler ve Özel Dörtgenler,Üçgende Alan ve Benzerlik,TYT & AYT,2.0,"[0.2, 0.5, 0.2, 0.1, 0.0]"
Geometri,Çember ve Daire,Üçgende Alan ve Benzerlik,TYT & AYT,2.2,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Geometri,Katı Cisimler (Prizma, Piramit, Küre),"Üçgende ve Dörtgende Alan/Hacim",TYT & AYT,1.8,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Geometri,Analitik Geometri (Nokta ve Doğru),"Koordinat Sistemi; Denklem Çözme",TYT & AYT,2.5,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Geometri,Dönüşüm Geometrisi,Analitik Geometri,AYT,0.8,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Geometri,Çemberin Analitiği,"Çember ve Daire; Analitik Geometri",AYT,0.8,"[0.0, 0.2, 0.4, 0.3, 0.1]"
Fizik,Fizik Bilimine Giriş,Yok,TYT,0.5,"[0.7, 0.3, 0.0, 0.0, 0.0]"
Fizik,Madde ve Özellikleri,Fizik Bilimine Giriş,TYT,1.0,"[0.6, 0.4, 0.0, 0.0, 0.0]"
Fizik,Isı, Sıcaklık ve Genleşme,Madde ve Özellikleri,TYT,1.0,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Fizik,Basınç ve Kaldırma Kuvveti,Madde ve Özellikleri,TYT,1.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Fizik,Hareket ve Kuvvet,Fizik Bilimine Giriş,TYT,1.0,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Fizik,Dinamik,Hareket ve Kuvvet,TYT,0.5,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Fizik,İş, Güç ve Enerji,Hareket ve Kuvvet,TYT,0.5,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Fizik,Elektrik Akımı ve Devreler,Temel Kavramlar,TYT,1.5,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Fizik,Manyetizma (TYT),Elektrik Akımı ve Devreler,TYT,0.5,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Fizik,Dalgalar,Hareket ve Kuvvet,TYT,1.0,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Fizik,Optik,Dalgalar,TYT,1.5,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Fizik,Vektörler, Kuvvet ve Denge,"Trigonometri; Dinamik (TYT)",AYT,1.5,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Fizik,Hareket (Bağıl, Atışlar, Sabit İvmeli),"Hareket ve Kuvvet (TYT); Türev",AYT,2.0,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Fizik,İş, Güç ve Enerji II,"İş, Güç ve Enerji (TYT); Dinamik",AYT,1.0,"[0.1, 0.4, 0.3, 0.2, 0.0]"
Fizik,İtme ve Momentum,Dinamik,AYT,1.0,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Fizik,Çembersel Hareket,"Vektörler, Kuvvet ve Denge",AYT,1.2,"[0.0, 0.2, 0.4, 0.3, 0.1]"
Fizik,Basit Harmonik Hareket,Çembersel Hareket,AYT,1.0,"[0.0, 0.2, 0.4, 0.3, 0.1]"
Fizik,Kütle Çekim ve Kepler Kanunları,Çembersel Hareket,AYT,0.5,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Fizik,Elektriksel Alan, Potansiyel ve İş,"Elektrik (TYT); Vektörler",AYT,1.5,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Fizik,Manyetizma ve Elektromanyetik İndüksiyon,"Elektrik (TYT); Vektörler",AYT,1.7,"[0.0, 0.2, 0.3, 0.4, 0.1]"
Fizik,Alternatif Akım ve Transformatörler,Manyetizma ve Elektromanyetik İndüksiyon,AYT,0.8,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Fizik,Dalga Mekaniği (Kırınım, Girişim),"Dalgalar (TYT); Optik (TYT)",AYT,1.0,"[0.0, 0.2, 0.4, 0.3, 0.1]"
Fizik,Modern Fizik (Özel Görelilik, Fotoelektrik),Dalga Mekaniği,AYT,1.3,"[0.0, 0.2, 0.3, 0.4, 0.1]"
Fizik,Atom Fiziği ve Radyoaktivite,Modern Fizik,AYT,1.0,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Kimya,Kimya Bilimi,Yok,TYT,1.0,"[0.7, 0.3, 0.0, 0.0, 0.0]"
Kimya,Atom ve Periyodik Sistem,Kimya Bilimi,TYT,1.0,"[0.5, 0.4, 0.1, 0.0, 0.0]"
Kimya,Kimyasal Türler Arası Etkileşimler,Atom ve Periyodik Sistem,TYT,1.0,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Kimya,Maddenin Halleri,Kimyasal Türler Arası Etkileşimler,TYT,1.0,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Kimya,Kimyanın Temel Kanunları ve Kimyasal Hesaplamalar,Atom ve Periyodik Sistem,TYT,1.0,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Kimya,Asitler, Bazlar ve Tuzlar,Kimyasal Türler Arası Etkileşimler,TYT,1.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Kimya,Karışımlar,Maddenin Halleri,TYT,1.0,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Kimya,Modern Atom Teorisi,"Atom ve Periyodik Sistem (TYT)",AYT,1.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Kimya,Gazlar,"Maddenin Halleri (TYT); Kimyasal Hesaplamalar",AYT,1.2,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Kimya,Sıvı Çözeltiler ve Çözünürlük,"Karışımlar (TYT); Kimyasal Hesaplamalar",AYT,1.8,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Kimya,Kimyasal Tepkimelerde Enerji (Entalpi),Kimyasal Hesaplamalar,AYT,1.0,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Kimya,Kimyasal Tepkimelerde Hız,Kimyasal Tepkimelerde Enerji,AYT,1.0,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Kimya,Kimyasal Denge,Kimyasal Tepkimelerde Hız,AYT,1.0,"[0.0, 0.2, 0.4, 0.3, 0.1]"
Kimya,Asit-Baz Dengesi,"Kimyasal Denge; Asitler, Bazlar ve Tuzlar (TYT)",AYT,0.8,"[0.0, 0.2, 0.4, 0.3, 0.1]"
Kimya,Çözünürlük Dengesi (Kçç),Kimyasal Denge,AYT,0.3,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Kimya,Kimya ve Elektrik (Elektrokimya),"Redoks Tepkimeleri; Kimyasal Denge",AYT,2.4,"[0.0, 0.1, 0.3, 0.4, 0.2]"
Kimya,Karbon Kimyasına Giriş,Kimyasal Türler Arası Etkileşimler,AYT,0.5,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Kimya,Organik Bileşikler,Karbon Kimyasına Giriş,AYT,2.2,"[0.0, 0.2, 0.3, 0.4, 0.1]"
Biyoloji,Canlıların Ortak Özellikleri,Yok,TYT,0.5,"[0.6, 0.4, 0.0, 0.0, 0.0]"
Biyoloji,Canlıların Temel Bileşenleri,Canlıların Ortak Özellikleri,TYT,1.0,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Biyoloji,Hücre ve Organeller,Canlıların Temel Bileşenleri,TYT,1.0,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Biyoloji,Canlıların Sınıflandırılması,Hücre ve Organeller,TYT,1.0,"[0.3, 0.4, 0.3, 0.0, 0.0]"
Biyoloji,Hücre Bölünmeleri ve Üreme,Hücre ve Organeller,TYT,1.0,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Biyoloji,Kalıtımın Genel İlkeleri,Hücre Bölünmeleri ve Üreme,TYT,1.0,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Biyoloji,Ekosistem Ekolojisi ve Güncel Çevre Sorunları,Canlıların Sınıflandırılması,TYT,0.5,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Biyoloji,Sinir Sistemi,"Hücre ve Organeller (TYT)",AYT,0.8,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Biyoloji,Endokrin Sistem,Sinir Sistemi,AYT,1.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Biyoloji,Duyu Organları,Sinir Sistemi,AYT,0.3,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Biyoloji,Destek ve Hareket Sistemi,"Hücre ve Organeller (TYT)",AYT,0.3,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Biyoloji,Sindirim Sistemi,"Canlıların Temel Bileşenleri (TYT)",AYT,0.7,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Biyoloji,Dolaşım ve Bağışıklık Sistemi,"Hücre ve Organeller (TYT)",AYT,1.0,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Biyoloji,Solunum Sistemi,Dolaşım Sistemi,AYT,1.0,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Biyoloji,Boşaltım (Üriner) Sistemi,Dolaşım Sistemi,AYT,0.5,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Biyoloji,Üreme Sistemi ve Embriyonik Gelişim,"Hücre Bölünmeleri (TYT)",AYT,0.5,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Biyoloji,Komünite ve Popülasyon Ekolojisi,"Ekosistem Ekolojisi (TYT)",AYT,1.7,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Biyoloji,Genden Proteine (Nükleik Asitler, Protein Sentezi),"Kalıtım (TYT); Canlıların Temel Bileşenleri (TYT)",AYT,2.0,"[0.0, 0.2, 0.4, 0.3, 0.1]"
Biyoloji,Canlılarda Enerji Dönüşümleri (Fotosentez, Solunum),"Hücre ve Organeller (TYT)",AYT,1.8,"[0.0, 0.2, 0.4, 0.3, 0.1]"
Biyoloji,Bitki Biyolojisi,"Tüm Sistemler; Enerji Dönüşümleri",AYT,1.5,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Türkçe,Sözcükte Anlam,Yok,TYT,3.0,"[0.6, 0.4, 0.0, 0.0, 0.0]"
Türkçe,Cümlede Anlam,Sözcükte Anlam,TYT,4.0,"[0.5, 0.4, 0.1, 0.0, 0.0]"
Türkçe,Paragrafta Anlam,Cümlede Anlam,TYT,25.0,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Türkçe,Ses Bilgisi,Temel Dilbilgisi,TYT,1.0,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Türkçe,Yazım Kuralları,Ses Bilgisi,TYT,2.0,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Türkçe,Noktalama İşaretleri,Temel Dilbilgisi,TYT,2.0,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Türkçe,Sözcük Türleri (İsim, Sıfat, Zamir, Zarf vb.),Sözcükte Yapı,TYT,2.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Türkçe,Fiiller (Çatı, Eylem, Ek Fiil),Sözcük Türleri,TYT,1.0,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Türkçe,Cümlenin Ögeleri,Sözcük Türleri,TYT,1.0,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Türkçe,Anlatım Bozukluğu,Tüm Dilbilgisi Konuları,TYT,0.3,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Edebiyat,Anlam Bilgisi (Sözcük, Cümle, Paragraf),Türkçe (TYT),AYT,4.0,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Edebiyat,Şiir Bilgisi (Kafiye, Redif, Nazım Biçimleri),Anlam Bilgisi,AYT,2.5,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Edebiyat,Edebi Sanatlar,Anlam Bilgisi,AYT,1.5,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Edebiyat,İslamiyet Öncesi ve Geçiş Dönemi Türk Edebiyatı,Tarih Bilgisi,AYT,1.0,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Edebiyat,Halk Edebiyatı,Şiir Bilgisi,AYT,1.5,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Edebiyat,Divan Edebiyatı,"Şiir Bilgisi; Edebi Sanatlar",AYT,4.5,"[0.1, 0.2, 0.4, 0.3, 0.0]"
Edebiyat,Tanzimat Edebiyatı,Edebiyat Akımları,AYT,1.5,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Edebiyat,Servet-i Fünun ve Fecr-i Ati Edebiyatı,Tanzimat Edebiyatı,AYT,1.0,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Edebiyat,Milli Edebiyat,Tanzimat Edebiyatı,AYT,1.5,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Edebiyat,Cumhuriyet Dönemi Edebiyatı,Milli Edebiyat,AYT,3.5,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Edebiyat,Edebiyat Akımları,Felsefe Tarihi Bilgisi,AYT,1.0,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Tarih,Tarih ve Zaman,Yok,TYT & AYT,0.5,"[0.6, 0.4, 0.0, 0.0, 0.0]"
Tarih,İlk ve Orta Çağlarda Türk Dünyası,Tarih ve Zaman,TYT & AYT,1.5,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Tarih,İslam Medeniyetinin Doğuşu,İlk Çağ Uygarlıkları,TYT & AYT,1.0,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Tarih,Türklerin İslamiyet'i Kabulü ve İlk Türk İslam Devletleri,İslam Medeniyetinin Doğuşu,TYT & AYT,1.5,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Tarih,Osmanlı Devleti Kuruluş ve Yükselme Dönemleri,İlk Türk İslam Devletleri,TYT & AYT,2.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Tarih,Osmanlı Kültür ve Medeniyeti,Osmanlı Siyasi Tarihi,TYT & AYT,1.0,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Tarih,Avrupa Tarihi (Yeni ve Yakın Çağ),Orta Çağ Tarihi,TYT & AYT,1.0,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Tarih,Osmanlı Devleti Duraklama, Gerileme ve Dağılma Dönemleri,Osmanlı Yükselme Dönemi,TYT & AYT,2.0,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Tarih,20. Yüzyıl Başlarında Osmanlı ve Dünya,Osmanlı Dağılma Dönemi,TYT & AYT,1.5,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Tarih,Milli Mücadele Dönemi,20. Yüzyıl Başlarında Osmanlı,TYT & AYT,4.2,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Tarih,Atatürkçülük ve Türk İnkılabı,Milli Mücadele Dönemi,TYT & AYT,3.0,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Tarih,İki Savaş Arası Dönemde Türkiye ve Dünya,Milli Mücadele Dönemi,AYT,1.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Tarih,II. Dünya Savaşı ve Sonrası (Soğuk Savaş),İki Savaş Arası Dönem,AYT,1.5,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Tarih,Yumuşama Dönemi ve Sonrası,Soğuk Savaş Dönemi,AYT,1.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Tarih,Küreselleşen Dünya,Yumuşama Dönemi,AYT,1.0,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Coğrafya,Doğa ve İnsan,Yok,TYT,0.3,"[0.7, 0.3, 0.0, 0.0, 0.0]"
Coğrafya,Dünya'nın Şekli ve Hareketleri,Doğa ve İnsan,TYT,0.2,"[0.6, 0.4, 0.0, 0.0, 0.0]"
Coğrafya,Coğrafi Konum,Dünya'nın Şekli ve Hareketleri,TYT,0.2,"[0.5, 0.4, 0.1, 0.0, 0.0]"
Coğrafya,Harita Bilgisi,Coğrafi Konum,TYT,0.6,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Coğrafya,İklim Bilgisi (Atmosfer, Sıcaklık, Basınç, Rüzgar, Nem),Harita Bilgisi,TYT,1.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Coğrafya,İç ve Dış Kuvvetler,Dünya'nın Şekli ve Hareketleri,TYT,0.6,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Coğrafya,Nüfus ve Yerleşme,Harita Bilgisi,TYT,1.0,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Coğrafya,Bölgeler ve Ülkeler,Harita Bilgisi,TYT,0.6,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Coğrafya,Doğal Afetler,İç ve Dış Kuvvetler,TYT,0.7,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Coğrafya,Ekosistem ve Madde Döngüsü,"İklim Bilgisi; Biyoloji Temelleri",AYT,3.2,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Coğrafya,Nüfus Politikaları ve Şehirleşme,"Nüfus ve Yerleşme (TYT)",AYT,2.3,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Coğrafya,Türkiye Ekonomisi (Tarım, Sanayi, Ticaret vb.),Ekonomik Faaliyetler (TYT),AYT,2.8,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Coğrafya,Küresel Ortam: Bölgeler ve Ülkeler,"Bölgeler ve Ülkeler (TYT)",AYT,2.3,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Coğrafya,Çevre ve Toplum,Ekosistem ve Madde Döngüsü,AYT,2.2,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Coğrafya,Uluslararası Örgütler ve Jeopolitik Konum,Tarih Bilgisi,AYT,1.2,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Felsefe Grubu,Felsefenin Konusu,Yok,TYT & AYT,1.0,"[0.5, 0.4, 0.1, 0.0, 0.0]"
Felsefe Grubu,Bilgi Felsefesi (Epistemoloji),Felsefenin Konusu,TYT & AYT,1.3,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Felsefe Grubu,Varlık Felsefesi (Ontoloji),Felsefenin Konusu,TYT & AYT,0.8,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Felsefe Grubu,Ahlak Felsefesi (Etik),Felsefenin Konusu,TYT & AYT,1.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Felsefe Grubu,Siyaset Felsefesi,Ahlak Felsefesi,TYT & AYT,0.3,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Felsefe Grubu,Sanat Felsefesi (Estetik),Felsefenin Konusu,TYT & AYT,0.5,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Felsefe Grubu,Din Felsefesi,Varlık Felsefesi,TYT & AYT,0.5,"[0.3, 0.4, 0.3, 0.0, 0.0]"
Felsefe Grubu,Bilim Felsefesi,Bilgi Felsefesi,TYT & AYT,0.2,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Felsefe Grubu,20. Yüzyıl Felsefesi,Felsefe Tarihi,AYT,1.0,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Felsefe Grubu,Psikoloji Bilimini Tanıyalım,Yok,AYT,1.2,"[0.5, 0.4, 0.1, 0.0, 0.0]"
Felsefe Grubu,Psikolojinin Temel Süreçleri,Psikoloji Bilimini Tanıyalım,AYT,1.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Felsefe Grubu,Öğrenme, Bellek, Düşünme,Psikolojinin Temel Süreçleri,AYT,1.0,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Felsefe Grubu,Ruh Sağlığının Temelleri,Psikolojinin Temel Süreçleri,AYT,1.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Felsefe Grubu,Sosyolojiye Giriş,Yok,AYT,1.0,"[0.5, 0.4, 0.1, 0.0, 0.0]"
Felsefe Grubu,Birey ve Toplum,Sosyolojiye Giriş,AYT,1.0,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Felsefe Grubu,Toplumsal Yapı ve Değişme,Birey ve Toplum,AYT,1.0,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Felsefe Grubu,Toplum ve Kültür,Toplumsal Yapı ve Değişme,AYT,0.8,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Felsefe Grubu,Mantığa Giriş,Felsefenin Konusu,AYT,1.2,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Felsefe Grubu,Klasik Mantık,Mantığa Giriş,AYT,1.5,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Felsefe Grubu,Sembolik Mantık,Klasik Mantık,AYT,0.8,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Din Kültürü ve Ahlak Bilgisi,Bilgi ve İnanç,Yok,TYT,1.2,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Din Kültürü ve Ahlak Bilgisi,İslam ve İbadet,Bilgi ve İnanç,TYT,1.0,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Din Kültürü ve Ahlak Bilgisi,Ahlak ve Değerler,Bilgi ve İnanç,TYT,1.0,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Din Kültürü ve Ahlak Bilgisi,Hz. Muhammed'in Hayatı ve Örnekliği,İslam Tarihi Bilgisi,TYT & AYT,1.0,"[0.5, 0.4, 0.1, 0.0, 0.0]"
Din Kültürü ve Ahlak Bilgisi,Vahiy ve Akıl,Bilgi ve İnanç,TYT,0.8,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Din Kültürü ve Ahlak Bilgisi,İslam Düşüncesindeki Yorumlar,İslam Tarihi Bilgisi,TYT & AYT,0.8,"[0.3, 0.4, 0.3, 0.0, 0.0]"
Din Kültürü ve Ahlak Bilgisi,Kur'an'dan Mesajlar ve Kavramlar,Vahiy ve Akıl,AYT,1.4,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Din Kültürü ve Ahlak Bilgisi,İnançla İlgili Felsefi Meseleler,"Din Felsefesi; Bilgi ve İnanç",AYT,0.8,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Din Kültürü ve Ahlak Bilgisi,İslam ve Bilim,Tarih Bilgisi,AYT,1.6,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Din Kültürü ve Ahlak Bilgisi,Anadolu'da İslam,İslam Düşüncesindeki Yorumlar,AYT,0.8,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Din Kültürü ve Ahlak Bilgisi,Yaşayan Dinler (Yahudilik, Hristiyanlık, Hint ve Çin Dinleri),Tarih ve Coğrafya Bilgisi,AYT,0.8,"[0.2, 0.4, 0.3, 0.1, 0.0]"
Din Kültürü ve Ahlak Bilgisi,Güncel Dini Meseleler,Ahlak ve Değerler,AYT,0.2,"[0.2, 0.4, 0.3, 0.1, 0.0]"
