Hafta,Tarih Aralığı,Türk Dili ve Edebiyatı,Matematik,Fizik,Kimya,Biyoloji,Tarih,Coğrafya
19,12-16 Ocak,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası
-,19-30 Ocak,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili
20-21,2-13 Şubat,Destan/Efsane,Dik Üçgen ve Trigonometri,Mıknatıslar ve Manyetik Alan,Kimyanın Temel Kanunları,Protista ve Mantarlar Alemi,Yerleşme ve Devletleşme Sürecinde Selçuklu Türkiyesi,İç ve Dış Kuvvetler
22-23,16-27 Şubat,Günlük/Blog,Üçgenin Alanı,"Basınç: Katı, Sıvı, Gaz Basıncı",Mol Kavramı,Bitkiler Alemi,Beylikten Devlete Osmanlı Siyaseti,Türkiye'nin Yer Şekilleri
24-25,2-13 Mart,Anı (Hatıra),Veri: Merkezi Eğilim ve Yayılım Ölçüleri,Kaldırma Kuvveti,Kimyasal Hesaplamalar,Hayvanlar Alemi,Devletleşme Sürecinde Savaşçılar ve Askerler,Türkiye'nin İklimi
26,16-20 Mart,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil
27-28,23 Mart - 3 Nisan,Haber Metni/Gezi Yazısı,Verilerin Grafikle Gösterilmesi,"Dalgalar: Yay, Su, Ses Dalgaları",Karışımlar: Homojen ve Heterojen Karışımlar,Ekosistem Ekolojisine Giriş,Beylikten Devlete Osmanlı Medeniyeti,Türkiye'de Toprak ve Bitki Örtüsü
29-30,6-17 Nisan,Sohbet/Fıkra,Fonksiyon Kavramı ve Gösterimi,"Optik: Aydınlanma, Gölge, Yansıma",Ayırma ve Saflaştırma Teknikleri,Madde ve Enerji Akışı,Dünya Gücü Osmanlı,Beşerî Sistemler: Nüfus ve Yerleşme
31-32,20 Nisan - 1 Mayıs,Masal/Fabl,Fonksiyon Dönüşümleri,Kırılma ve Mercekler,"Hayatımızda Kimya: Temizlik Maddeleri, Polimerler",Besin Zincirleri ve Ekolojik Piramitler,Sultan ve Osmanlı Merkez Teşkilatı,Ekonomik Faaliyetler
33-34,4-15 Mayıs,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası
35-40,18 Mayıs - 26 Haziran,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları,Yıl Sonu Tekrarı ve Proje Sunumları
